k;Euklidisch;Manhattan;Minkowski (p=1,5);Chebyshev;Kosinus
1;91,26%;91,02%;91,12%;91,06%;91,26%
3;89,44%;89,64%;89,50%;89,61%;89,40%
5;88,96%;89,34%;89,13%;89,07%;89,00%
7;89,03%;89,07%;89,00%;88,63%;89,10%
9;89,10%;89,07%;89,10%;88,56%;89,07%
11;88,73%;88,93%;88,63%;88,59%;88,73%
13;88,49%;88,53%;88,42%;88,56%;88,36%
15;88,56%;88,90%;88,59%;88,42%;88,56%
17;88,63%;88,86%;88,59%;88,42%;88,56%
19;88,69%;88,80%;88,76%;88,36%;88,66%
21;88,56%;88,63%;88,56%;88,15%;88,32%
23;88,26%;88,29%;88,29%;88,15%;88,26%
25;88,05%;87,92%;88,02%;87,75%;87,85%
27;88,15%;87,82%;87,99%;87,78%;87,99%
29;88,05%;88,09%;87,95%;87,88%;88,02%
31;88,02%;87,99%;87,85%;87,78%;87,95%
33;88,15%;87,99%;87,99%;87,92%;88,09%
35;87,95%;87,82%;88,12%;87,72%;87,88%
37;88,05%;87,78%;88,15%;87,78%;87,92%
39;87,99%;88,05%;87,99%;87,72%;87,72%
41;87,92%;88,02%;87,95%;87,85%;87,68%
43;87,92%;87,99%;88,02%;87,68%;87,82%
45;87,78%;87,82%;87,88%;87,51%;87,85%
47;87,72%;87,68%;87,75%;87,28%;87,68%
49;87,72%;87,58%;87,92%;86,91%;87,68%
51;87,58%;87,48%;87,68%;86,94%;87,51%
53;87,65%;87,68%;87,61%;86,84%;87,51%
55;87,45%;87,61%;87,48%;86,67%;87,28%
57;87,28%;87,51%;87,18%;86,53%;87,11%
59;87,24%;87,65%;87,38%;86,70%;86,97%
61;87,04%;87,72%;87,21%;86,64%;87,04%
63;87,18%;87,61%;87,07%;86,77%;87,01%
65;87,01%;87,55%;87,04%;86,77%;87,01%
67;87,14%;87,55%;87,01%;86,80%;87,18%
69;87,11%;87,41%;87,01%;86,74%;86,97%
71;87,14%;87,45%;87,07%;86,80%;87,18%
73;87,24%;87,55%;87,07%;86,84%;87,24%
75;87,28%;87,61%;87,11%;86,84%;87,07%
77;87,21%;87,75%;87,14%;87,01%;87,14%
79;87,14%;87,78%;87,18%;87,11%;87,11%
81;87,14%;87,61%;87,14%;86,74%;87,01%
83;86,97%;87,45%;87,18%;86,47%;87,04%
85;87,01%;87,51%;87,18%;86,40%;87,01%
87;86,94%;87,48%;86,87%;86,47%;86,91%
89;86,80%;87,41%;86,70%;86,37%;86,80%
91;86,84%;87,31%;86,77%;86,33%;86,64%
93;86,70%;87,18%;86,91%;86,23%;86,50%
95;86,80%;86,97%;86,80%;86,26%;86,47%
97;86,74%;87,11%;86,94%;86,20%;86,47%
99;86,91%;86,94%;86,87%;86,16%;86,57%
101;86,84%;87,01%;86,77%;86,13%;86,50%
103;86,60%;86,91%;86,74%;86,16%;86,53%
105;86,57%;86,84%;86,74%;86,23%;86,37%
107;86,50%;86,87%;86,57%;86,20%;86,57%
109;86,53%;87,01%;86,64%;86,10%;86,40%
111;86,43%;86,87%;86,57%;85,93%;86,30%
113;86,40%;86,91%;86,50%;86,06%;86,30%
115;86,43%;86,91%;86,57%;86,20%;86,53%
117;86,10%;86,97%;86,70%;85,93%;86,50%
119;86,26%;86,97%;86,53%;86,10%;86,40%
121;86,33%;86,94%;86,67%;85,93%;86,26%
123;86,30%;86,74%;86,47%;85,96%;86,10%
125;86,30%;86,67%;86,26%;85,79%;86,06%
127;86,13%;86,77%;86,26%;85,76%;85,96%
129;85,99%;86,60%;86,30%;85,72%;85,79%
131;86,03%;86,60%;86,23%;85,56%;85,86%
133;86,03%;86,74%;86,30%;85,62%;85,83%
135;85,96%;86,47%;86,10%;85,76%;85,86%
137;85,69%;86,50%;85,93%;85,56%;85,66%
139;85,76%;86,43%;85,86%;85,22%;85,45%
141;85,25%;86,37%;85,76%;85,25%;85,35%
143;85,29%;86,30%;85,76%;84,81%;85,56%
145;85,29%;86,06%;85,76%;84,34%;85,59%
147;85,18%;86,13%;85,62%;84,41%;85,39%
149;84,81%;86,16%;85,59%;84,41%;85,22%
151;84,88%;86,26%;85,49%;84,44%;85,15%
153;84,75%;86,16%;85,45%;84,85%;85,32%
155;84,64%;86,13%;85,56%;84,68%;85,39%
157;84,51%;86,20%;85,49%;84,44%;84,98%
159;84,54%;85,96%;85,32%;84,31%;85,05%
161;84,48%;86,03%;85,39%;84,17%;84,95%
163;84,41%;85,99%;85,35%;84,21%;85,02%
165;84,41%;85,86%;85,39%;84,21%;84,98%
167;84,37%;85,96%;85,35%;84,21%;84,98%
169;84,14%;85,66%;85,15%;84,00%;84,58%
171;84,10%;85,69%;85,08%;83,87%;84,54%
173;84,10%;85,76%;85,02%;83,80%;84,61%
175;84,10%;85,66%;85,05%;83,50%;84,64%
177;84,00%;85,79%;84,88%;83,60%;84,58%
179;84,10%;85,76%;85,05%;83,63%;84,61%
181;84,00%;85,79%;84,91%;83,63%;84,48%
183;83,97%;85,49%;84,85%;83,77%;84,44%
185;84,00%;85,39%;84,75%;83,46%;84,51%
187;83,80%;85,35%;84,61%;83,40%;84,58%
189;83,80%;85,49%;84,68%;83,26%;84,54%
191;83,77%;85,42%;84,71%;83,19%;84,64%
193;83,87%;85,39%;84,58%;83,33%;84,54%
195;83,73%;85,35%;84,58%;83,29%;84,48%
