k,Euclidean,Manhattan,Minkowski (p=1.5),Chebyshev,Cosine
1,0.912588592642592,0.9102261221734729,0.911238609517381,0.9105636179547756,0.912588592642592
3,0.8943638204522444,0.8963887951400608,0.8950388120148498,0.896051299358758,0.8940263246709416
5,0.8896388795140061,0.8933513331083361,0.8913263584205198,0.8906513668579142,0.8899763752953088
7,0.8903138710766115,0.8906513668579142,0.8899763752953088,0.8862639217009788,0.8909888626392171
9,0.8909888626392171,0.8906513668579142,0.8909888626392171,0.8855889301383733,0.8906513668579142
11,0.8872764090448869,0.8893013837327033,0.8862639217009788,0.885926425919676,0.8872764090448869
13,0.8849139385757678,0.8852514343570705,0.8842389470131623,0.8855889301383733,0.8835639554505569
15,0.8855889301383733,0.8889638879514006,0.885926425919676,0.8842389470131623,0.8855889301383733
17,0.8862639217009788,0.8886263921700979,0.885926425919676,0.8842389470131623,0.8855889301383733
19,0.8869389132635842,0.8879514006074924,0.8876139048261896,0.8835639554505569,0.8866014174822815
21,0.8855889301383733,0.8862639217009788,0.8855889301383733,0.8815389807627405,0.8832264596692542
23,0.8825514681066486,0.8828889638879514,0.8828889638879514,0.8815389807627405,0.8825514681066486
25,0.8805264934188323,0.8791765102936213,0.8801889976375296,0.8774890313871077,0.8785015187310159
27,0.8815389807627405,0.8781640229497131,0.8798515018562268,0.8778265271684104,0.8798515018562268
29,0.8805264934188323,0.880863989200135,0.879514006074924,0.8788390145123186,0.8801889976375296
31,0.8801889976375296,0.8798515018562268,0.8785015187310159,0.8778265271684104,0.879514006074924
33,0.8815389807627405,0.8798515018562268,0.8798515018562268,0.8791765102936213,0.880863989200135
35,0.879514006074924,0.8781640229497131,0.8812014849814377,0.8771515356058049,0.8788390145123186
37,0.8805264934188323,0.8778265271684104,0.8815389807627405,0.8778265271684104,0.8791765102936213
39,0.8798515018562268,0.8805264934188323,0.8798515018562268,0.8771515356058049,0.8771515356058049
41,0.8791765102936213,0.8801889976375296,0.879514006074924,0.8785015187310159,0.8768140398245022
43,0.8791765102936213,0.8798515018562268,0.8801889976375296,0.8768140398245022,0.8781640229497131
45,0.8778265271684104,0.8781640229497131,0.8788390145123186,0.8751265609179886,0.8785015187310159
47,0.8771515356058049,0.8768140398245022,0.8774890313871077,0.8727640904488694,0.8768140398245022
49,0.8771515356058049,0.875801552480594,0.8791765102936213,0.8690516368545393,0.8768140398245022
51,0.875801552480594,0.8747890651366858,0.8768140398245022,0.869389132635842,0.8751265609179886
53,0.8764765440431994,0.8768140398245022,0.8761390482618967,0.8683766452919338,0.8751265609179886
55,0.874451569355383,0.8761390482618967,0.8747890651366858,0.8666891663854202,0.8727640904488694
57,0.8727640904488694,0.8751265609179886,0.8717516031049611,0.8653391832602092,0.8710766115423557
59,0.8724265946675667,0.8764765440431994,0.8737765777927776,0.8670266621667229,0.8697266284171448
61,0.8704016199797503,0.8771515356058049,0.872089098886264,0.8663516706041174,0.8704016199797503
63,0.8717516031049611,0.8761390482618967,0.870739115761053,0.8677016537293284,0.8700641241984475
65,0.8700641241984475,0.8754640566992913,0.8704016199797503,0.8677016537293284,0.8700641241984475
67,0.8714141073236584,0.8754640566992913,0.8700641241984475,0.8680391495106311,0.8717516031049611
