k;Euclidean;Manhattan;Minkowski (p=1,5);Chebyshev;Cosine
1;0,8646641916976038;0,8643266959163011;0,8643266959163011;0,8606142423219709;0,8643266959163011
3;0,8518393520080999;0,8670266621667229;0,8545393182585218;0,8461019237259534;0,8511643604454945
5;0,8447519406007425;0,8643266959163011;0,8515018562267972;0,8396895038812014;0,8437394532568343
7;0,8423894701316234;0,8636517043536955;0,8511643604454945;0,8319271009112386;0,8423894701316234
9;0,8356395545055687;0,8531893351333109;0,8369895376307797;0,8268646641916976;0,8332770840364495
11;0,8288896388795141;0,835302058724266;0,8312521093486331;0,8255146810664866;0,8278771515356058
13;0,8255146810664866;0,8241646979412758;0,8231522105973675;0,8197772527843402;0,8241646979412758
15;0,8177522780965238;0,8197772527843402;0,8234897063786702;0,8214647316908539;0,8191022612217347
17;0,8130273371582856;0,8157273034087074;0,8164022949713129;0,8211272359095512;0,8116773540330746
19;0,8083023962200473;0,818764765440432;0,8133648329395883;0,817414782315221;0,809989875126561
21;0,8126898413769827;0,8170772865339183;0,817414782315221;0,81235234559568;0,81235234559568
23;0,8093148835639554;0,817414782315221;0,8110023624704691;0,8008774890313871;0,8110023624704691
25;0,8113398582517719;0,817414782315221;0,8140398245021937;0,8002024974687817;0,81235234559568
27;0,8110023624704691;0,8143773202834964;0,8153898076274047;0,7964900438744515;0,8113398582517719
29;0,8110023624704691;0,8157273034087074;0,8153898076274047;0,7981775227809652;0,8116773540330746
31;0,8126898413769827;0,817414782315221;0,8157273034087074;0,7968275396557543;0,8120148498143773
33;0,8140398245021937;0,8177522780965238;0,8157273034087074;0,7971650354370571;0,8120148498143773
35;0,81235234559568;0,8160647991900101;0,8140398245021937;0,7985150185622679;0,8110023624704691
37;0,8113398582517719;0,8164022949713129;0,8133648329395883;0,7978400269996625;0,8130273371582856
39;0,81235234559568;0,8164022949713129;0,8126898413769827;0,7975025312183598;0,8150523118461019
41;0,818764765440432;0,8167397907526156;0,8153898076274047;0,8039149510631117;0,8164022949713129
43;0,8147148160647992;0,818764765440432;0,8153898076274047;0,7968275396557543;0,8157273034087074
45;0,81235234559568;0,8194397570030375;0,8160647991900101;0,7846776915288559;0,81235234559568
47;0,8126898413769827;0,817414782315221;0,8140398245021937;0,7887276409044887;0,8130273371582856
49;0,8126898413769827;0,8177522780965238;0,8143773202834964;0,783327708403645;0,8110023624704691
51;0,8130273371582856;0,8167397907526156;0,8126898413769827;0,7823152210597367;0,8110023624704691
53;0,80863989200135;0,8164022949713129;0,8116773540330746;0,7792777590280121;0,8110023624704691
55;0,8056024299696254;0,8143773202834964;0,809989875126561;0,7786027674654067;0,8079649004387445
57;0,8049274384070199;0,81235234559568;0,8096523793452581;0,781977725278434;0,8056024299696254
59;0,8008774890313871;0,8083023962200473;0,8049274384070199;0,7826527168410395;0,8025649679379008
61;0,7991900101248735;0,8039149510631117;0,7998650016874789;0,7806277421532231;0,8045899426257171
63;0,7995275059061762;0,803577455281809;0,7998650016874789;0,7802902463719203;0,8012149848126898
65;0,7985150185622679;0,8042524468444144;0,7981775227809652;0,7860276746540669;0,7985150185622679
67;0,7975025312183598;0,8018899763752954;0,7971650354370571;0,787040161997975;0,7981775227809652
69;0,7968275396557543;0,8018899763752954;0,7968275396557543;0,7877151535605805;0,7985150185622679
71;0,8002024974687817;0,7985150185622679;0,7981775227809652;0,788390145123186;0,8008774890313871
73;0,8005399932500844;0,7978400269996625;0,7978400269996625;0,7860276746540669;0,8002024974687817
75;0,7988525143435707;0,8015524805939925;0,7968275396557543;0,7985150185622679;0,7995275059061762
77;0,7937900776240298;0,8008774890313871;0,7924400944988188;0,8008774890313871;0,7944650691866352
79;0,7917651029362133;0,7964900438744515;0,7924400944988188;0,7873776577792777;0,7941275734053325
81;0,792102598717516;0,7944650691866352;0,7924400944988188;0,7880526493418832;0,7941275734053325
83;0,7887276409044887;0,7937900776240298;0,7900776240296996;0,7934525818427269;0,7910901113736079
85;0,7877151535605805;0,7897401282483969;0,7887276409044887;0,7988525143435707;0,7873776577792777
87;0,7867026662166723;0,7887276409044887;0,7867026662166723;0,7961525480931488;0,7880526493418832
89;0,7860276746540669;0,7867026662166723;0,7860276746540669;0,787040161997975;0,788390145123186
91;0,7836652041849477;0,785690178872764;0,7836652041849477;0,785690178872764;0,7850151873101586
93;0,7843401957475532;0,783327708403645;0,7840026999662504;0,7802902463719203;0,7853526830914613
95;0,7840026999662504;0,783327708403645;0,7853526830914613;0,7813027337158286;0,7846776915288559
97;0,7840026999662504;0,7816402294971313;0,7846776915288559;0,781977725278434;0,7836652041849477
99;0,7836652041849477;0,7799527505906176;0,7826527168410395;0,7735403307458657;0,7843401957475532
101;0,7796152548093149;0,7809652379345258;0,7802902463719203;0,7742153223084711;0,7266284171447857
103;0,7472156598042524;0,7374282821464732;0,7428282146473169;0,7759028012149848;0,704691191360108
105;0,7404657441781978;0,7347283158960513;0,7381032737090787;0,7802902463719203;0,6986162672966588
